institution,country,datasource,nPapers,nAuth,standardized name
"Univ Lausanne, Inst Psychol, Lausanne, Switzerland",Switzerland,Both,11,15,University of Lausanne - LA
"University of Geneva, Switzerland",Switzerland,Scopus,11,21,University of Geneva - GE
"WHO, Dept Immunizat Vaccines & Biol, Geneva, Switzerland",Switzerland,Both,11,21,"WHO, Dept Immunizat Vaccines & Biol, Geneva, Switzerland!"
"WHO, Dept Reprod Hlth & Res, Geneva, Switzerland",Switzerland,Both,11,25,"WHO, Dept Reprod Hlth & Res, Geneva, Switzerland"
"World Psychiat Assoc, Geneva, Switzerland",Switzerland,Both,11,4,Other Research Institutes - FINST
"Albert Einstein Ctr Fundamental Phys, Bern, Switzerland",Switzerland,Both,10,12,"Albert Einstein Ctr Fundamental Phys, Bern, Switzerland!"
"Another Institute or International Laboratory Covered by a Cooperation Agreement with CERN, Geneva, Switzerland",Switzerland,Scopus,10,14,"Another Institute or International Laboratory - CERN, Geneva, Switzerland"
"CERN, Geneva 23, 1211, Switzerland",Switzerland,Scopus,10,16,"CERN, Geneva"
"Charles University, Prague, Czech Republic, Another Institute or International Laboratory Covered by a Cooperation Agreement with CERN, Switzerland",Switzerland,Scopus,10,1,"Charles University, Prague, Czech Republic"
"Department of Dermatology, University Hospital Basel, Basel, Switzerland",Switzerland,Scopus,10,1,University Hospital Basel - BS
"Department of Emergency Medicine, University of Bern, Bern, Switzerland",Switzerland,Scopus,10,1,University of Berne - BE
"Department of Medical Oncology, Inselspital, University Hospital and University of Bern, Bern, 3010, Switzerland",Switzerland,Scopus,10,4,University of Berne - BE
"ESMO, Lugano, Switzerland",Switzerland,Both,10,3,"ESMO, Lugano, Switzerland"
"Ecole Polytechnique Fédérale de Lausanne (EPFL), Swiss Plasma Center (SPC), Lausanne, CH-1015, Switzerland",Switzerland,Scopus,10,18,EPF Lausanne - EPFL
"Fed Polytech Sch Lausanne, Inst Microengn, Lausanne, Switzerland",Switzerland,Both,10,5,EPF Lausanne - EPFL
"GAIN, Geneva, Switzerland",Switzerland,Both,10,1,"GAIN, Geneva, Switzerland!"
"Geneva, Switzerland",Switzerland,Scopus,10,13,University of Geneva - GE
"Global Inst Water Environm & Hlth, CH-1201 Geneva, Switzerland",Switzerland,Both,10,2,"Global Institute of Water, Environment & Health - GIWEH, Geneva, Switzerland"
"ISDC Sci Data Ctr Astrophys, CH-1290 Geneva, Switzerland",Switzerland,Both,10,1,ISDC Sci Data Ctr Astrophys!
"International Nursing Review, Switzerland",Switzerland,Scopus,10,2,---
"Novartis Pharma AG, CH-4056 Basel, Switzerland",Switzerland,Both,10,23,Companies/ Private Industry - FP
"PanTherapeutics, Rte Lavaux 49, CH-1095 Lutry, Switzerland",Switzerland,Both,10,2,Companies/ Private Industry - FP
"Paul Scherrer Institut (PSI), Villigen, Switzerland",Switzerland,Scopus,10,13,Paul Scherrer Institute - PSI
"Swiss Fed Inst Technol, Comp Vis Lab, Zurich, Switzerland",Switzerland,Both,10,11,ETH Zurich - ETHZ
"Univ Basel, Childrens Hosp, Basel, Switzerland",Switzerland,Both,10,3,University of Basel - BS
"Univ Bern, Dept Biomed Res, Bern, Switzerland",Switzerland,Both,10,6,University of Berne - BE
"Univ Geneva, Chemin Ecogia 16, CH-1290 Versoix, Switzerland",Switzerland,Both,10,5,University of Geneva - GE
"Univ Geneva, Inst Global Hlth, Geneva, Switzerland",Switzerland,Both,10,19,University of Geneva - GE
"Univ Hosp Basel, Dept Dermatol & Allergy, Basel, Switzerland",Switzerland,Both,10,3,University of Basel - BS
"Univ Svizzera Italiana, Lugano, Switzerland",Switzerland,Both,10,8,Università della Svizzera italiana - USI
"University Hospital Zurich, Zurich, 8091, Switzerland",Switzerland,Scopus,10,3,Ente Ospedaliero Cantonale - EOC
"University of Lausanne, Switzerland",Switzerland,Scopus,10,8,University of Lausanne - LA
"WHO, Global Malaria Programme, Geneva, Switzerland",Switzerland,Both,10,9,"WHO, Global Malaria Programme, Geneva, Switzerland (!)"
"WHO, Global TB Programme, Geneva, Switzerland",Switzerland,Both,10,13,"WHO, Global TB Programme, Geneva, Switzerland"
"World Hlth Org, Dept Maternal Newborn Child & Adolescent Hlth, Geneva, Switzerland",Switzerland,Both,10,8,World Health Organization - WHO
"World Hlth Org, Geneva, Switzerland",Switzerland,WoS,10,16,"World Health Organization - WHO, Geneva, Switzerland"
"An Institution Covered by a Cooperation Agreement with CERN, Geneva, Switzerland",Switzerland,Scopus,9,1,"An Institution Covered by a Cooperation Agreement with CERN, Geneva, Switzerland

---"
"ETH Zürich, Zürich, Switzerland",Switzerland,Scopus,9,14,ETH Zurich - ETHZ
"Ecole Polytech Fed Lausanne, Global Hlth Inst, Lausanne, Switzerland",Switzerland,Both,9,16,EPF Lausanne - EPFL
"European Org Nucl Res, CERN, CH-1211 Meyrin, Switzerland",Switzerland,Both,9,55,CERN
"Geneva Univ Hosp, Geneva, Switzerland",Switzerland,Both,9,8,Unisanté
"Geneva University Hospitals, Switzerland",Switzerland,Scopus,9,15,Unisanté
"Health Workforce Department, World Health Organisation, Geneva, Switzerland",Switzerland,Scopus,9,1,"World Health Organisation - WHO, Geneva, Switzerland"
"Idiap Research Institute, Switzerland",Switzerland,Scopus,9,16,Idiap Research Institute - IDIAP
"Med Sans Frontieres, Geneva, Switzerland",Switzerland,Both,9,8,---
"Swiss Fed Inst Technol, Dept Biosyst Sci & Engn, Basel, Switzerland",Switzerland,Both,9,8,ETH Zurich - ETHZ
"Swiss Fed Inst Technol, Dept Earth Sci, Zurich, Switzerland",Switzerland,Both,9,8,ETH Zurich - ETHZ
"Swiss Fed Inst Technol, Inst Theoret Phys, CH-8093 Zurich, Switzerland",Switzerland,Both,9,4,ETH Zurich - ETHZ
"Swiss Institute of Bioinformatics, Lausanne, Switzerland",Switzerland,Scopus,9,10,Swiss Institute of Bioinformatics - SIB
"Univ Basel, Biozentrum, CH-4056 Basel, Switzerland",Switzerland,Both,9,9,University of Basel - BS
"Univ Basel, CH-4002 Basel, Switzerland",Switzerland,Both,9,4,University of Basel - BS
"Univ Bern, Dept Chem & Biochem, CH-3012 Bern, Switzerland",Switzerland,Both,9,15,University of Berne - BE
"Univ Bern, Inst Ecol & Evolut, Bern, Switzerland",Switzerland,Both,9,12,University of Berne - BE
"Univ Bern, Inst Geog, Bern, Switzerland",Switzerland,Both,9,7,University of Berne - BE
"Univ Bern, Inst Social & Prevent Med, Bern, Switzerland",Switzerland,Both,9,8,University of Berne - BE
"Univ Geneva, Dept Phys Theor, CH-1211 Geneva, Switzerland",Switzerland,Both,9,8,University of Geneva - GE
"Univ Lausanne, Ctr Integrat Genom, Lausanne, Switzerland",Switzerland,Both,9,8,University of Lausanne - LA
"Univ Lausanne, Inst Earth Surface Dynam, Lausanne, Switzerland",Switzerland,Both,9,11,University of Lausanne - LA
"Univ Lausanne, Lausanne, Switzerland",Switzerland,WoS,9,11,University of Lausanne - LA
"Univ St Gallen, St Gallen, Switzerland",Switzerland,Both,9,11,University of St.Gallen - SG
"Univ Zurich, CH-8006 Zurich, Switzerland",Switzerland,Both,9,29,University of Zurich - ZH
"Univ Zurich, Inst Plant Biol, CH-8008 Zurich, Switzerland",Switzerland,Both,9,7,University of Zurich - ZH
"University of Lausanne, Lausanne, Switzerland",Switzerland,Scopus,9,10,University of Lausanne - LA
"WHO, Dept Maternal Newborn Child & Adolescent Hlth, CH-1211 Geneva, Switzerland",Switzerland,Both,9,8,World Health Organization (WHO)
"WHO, Special Programme Res & Training Trop Dis TDR, CH-1211 Geneva, Switzerland",Switzerland,Both,9,8,"WHO, Special Programme Res & Training Trop Dis TDR"
"World Hlth Org, Dept Mental Hlth & Subst Abuse, Geneva, Switzerland",Switzerland,Both,9,7,"World Health Organization - WHO, Geneva, Switzerland"
"World Meteorological Organization, Geneva, Switzerland",Switzerland,Scopus,9,18,World Meteorological Organization - WMO
"Affiliated with an Institute Covered by a Cooperation Agreement with CERN, Geneva, Switzerland",Switzerland,Scopus,8,88,---
"Authors Affiliated with an Institute or an International Laboratory Covered by a Cooperation Agreement with CERN, Geneva, Switzerland",Switzerland,Scopus,8,115,"CERN, Geneva, Switzerland"
"Authors affiliated with an institute or an international laboratory covered by a cooperation agreement with CERN, Geneva, Switzerland",Switzerland,Scopus,8,125,"CERN, Geneva, Switzerland"
"CERN, CH-1211 Geneva, Switzerland",Switzerland,Both,8,9,Paul Scherrer Institute - PSI
"Department of Cardiology, University of Bern, Bern, Switzerland",Switzerland,Scopus,8,2,University of Berne - BE
"Department of Epidemiology, University of Bern, Bern, Switzerland",Switzerland,Scopus,8,1,University of Berne - BE
"Department of Ophthalmology, Pallas Klinik, Olten, Switzerland",Switzerland,Scopus,8,4,"Pallas Klinik, Olten, Switzerland!"
"Drugs Neglected Dis Initiat DNDi, Geneva, Switzerland",Switzerland,Both,8,7,"Drugs Neglected Dis Initiat DNDi, Geneva, Switzerland"
"Drugs for Neglected Diseases Initiative, Geneva, Switzerland",Switzerland,Scopus,8,9,Drugs for Neglected Diseases Initiative - DNDi
"ETH, Zurich, Switzerland",Switzerland,WoS,8,8,ETH Zurich - ETHZ
"Ecole Polytech Fed Lausanne, Global Hlth Inst, CH-1015 Lausanne, Switzerland",Switzerland,Both,8,16,EPF Lausanne - EPFL
"Faculty of Medicine, University of Geneva, Geneva, Switzerland",Switzerland,Scopus,8,9,University of Geneva - GE
"Graduate School for Cellular and Biomedical Sciences, University of Bern, Bern, 3012, Switzerland",Switzerland,Scopus,8,2,University of Berne - BE
"Idiap Res Inst, Martigny, Switzerland",Switzerland,Both,8,6,Idiap Research Institute - IDIAP
"Imperial College, London, United Kingdom, Authors Affiliated with an Institute or an International Laboratory Covered by a Cooperation Agreement with CERN, Geneva, Switzerland",Switzerland,Scopus,8,1,"Imperial College, London - IC"
"Institute of Microengineering, Federal Polytechnic School of Lausanne, Lausanne, Switzerland",Switzerland,Scopus,8,4,EPF Lausanne - EPFL
"Institute of Plant Sciences, University of Bern, Bern, Switzerland",Switzerland,Scopus,8,7,University of Berne - BE
"Laboratory for Air Pollution and Environmental Technology, Empa Dübendorf, Switzerland",Switzerland,Scopus,8,1,Swiss Federal Laboratories for Materials Science and Technology - EMPA
"Paul Scherrer Inst, Lab Atmospher Chem, Villigen, Switzerland",Switzerland,Both,8,31,Paul Scherrer Institute - PSI
"SIB Swiss Institute of Bioinformatics, Lausanne, 1015, Switzerland",Switzerland,Scopus,8,5,Swiss Institute of Bioinformatics - SIB
"Swiss Fed Inst Technol, CH-8093 Zurich, Switzerland",Switzerland,WoS,8,8,ETH Zurich - ETHZ
"Swiss Fed Inst Technol, Dept Comp Sci, Zurich, Switzerland",Switzerland,Both,8,15,ETH Zurich - ETHZ
"Swiss Fed Inst Technol, Dept Earth Sci, CH-8092 Zurich, Switzerland",Switzerland,Both,8,7,ETH Zurich - ETHZ
"Swiss Fed Inst Technol, Inst Astron, CH-8093 Zurich, Switzerland",Switzerland,Both,8,2,ETH Zurich - ETHZ
"Swiss Fed Inst Technol, Inst Environm Decis, Zurich, Switzerland",Switzerland,Both,8,9,ETH Zurich - ETHZ
"Swiss Fed Inst Technol, Inst Particle Phys & Astrophys, Zurich, Switzerland",Switzerland,Both,8,44,ETH Zurich - ETHZ
"Univ Basel, Inst Phys, CH-4056 Basel, Switzerland",Switzerland,Both,8,9,University of Basel - BS
"Univ Basel, Swiss Trop & Publ Hlth Inst, Basel, Switzerland",Switzerland,Both,8,7,Swiss Trop & Publ Hlth Inst - Swiss Tropical and Public Health Institute!
"Univ Bern, Bern Univ Hosp, Dept Hematol, Inselspital, Bern, Switzerland",Switzerland,Both,8,4,University of Berne - BE
"Univ Bern, Inst Geol, Baltzerstr 1 3, CH-3012 Bern, Switzerland",Switzerland,Both,8,4,University of Berne - BE
"Univ Bern, Inst Geol, CH-3012 Bern, Switzerland",Switzerland,Both,8,2,University of Berne - BE
"Univ Bern, Inst Phys, Bern, Switzerland",Switzerland,Both,8,4,University of Berne - BE
"Univ Childrens Hosp Zurich, Zurich, Switzerland",Switzerland,Both,8,8,Ostschweizer Kinderspital - OSKS
"Univ Fribourg, Fribourg Ctr Nanomat FriMat, CH-1700 Fribourg, Switzerland",Switzerland,Both,8,3,University of Fribourg - FR
"Univ Geneva, Dept Astron, Chemin Pegasi 51, CH-1290 Versoix, Switzerland",Switzerland,Both,8,6,University of Geneva - GE
"Univ Geneva, Dept Phys Nucl & Corpusculaire, CH-1211 Geneva, Switzerland",Switzerland,Both,8,10,University of Geneva - GE
"Univ Geneva, Dept Phys Theor, CH-1211 Geneva 4, Switzerland",Switzerland,WoS,8,4,University of Geneva - GE
"Univ Geneva, Observ Geneve, 51 Ch Maillettes, CH-1290 Versoix, Switzerland",Switzerland,Both,8,7,University of Geneva - GE
"Univ Geneva, Sch Med, Dept Genet Med & Dev, CH-1211 Geneva, Switzerland",Switzerland,Both,8,15,University of Geneva - GE
"Univ Hosp Geneva, Geneva, Switzerland",Switzerland,WoS,8,7,Unisanté
"Univ Hosp Zurich, Zurich, Switzerland",Switzerland,Both,8,10,Ente Ospedaliero Cantonale - EOC
"Univ Lausanne Hosp, Lausanne, Switzerland",Switzerland,Both,8,11,"Univ Lausanne Hosp, Lausanne, Switzerland
University of Lausanne - LA"
"Univ Zurich, Dept Geog, CH-8057 Zurich, Switzerland",Switzerland,Both,8,11,University of Zurich - ZH
"Univ Zurich, Dept Phys, Winterthurerstr 190, CH-8057 Zurich, Switzerland",Switzerland,Both,8,9,University of Zurich - ZH
"Univ Zurich, Epidemiol Biostat & Prevent Inst, Dept Publ & Global Hlth, Zurich, Switzerland",Switzerland,Both,8,3,University of Zurich - ZH
"Univ Zurich, Epidemiol Biostat & Prevent Inst, Zurich, Switzerland",Switzerland,Both,8,8,University of Zurich - ZH
"Univ Zurich, Inst Computat Sci, Winterthurerstr 190, CH-8057 Zurich, Switzerland",Switzerland,Both,8,7,University of Zurich - ZH
"Univ Zurich, Inst Theoret Phys, CH-8057 Zurich, Switzerland",Switzerland,Both,8,9,University of Zurich - ZH
"Univ Zurich, Phys Inst, Winterthurerstr 190, CH-8057 Zurich, Switzerland",Switzerland,WoS,8,7,University of Zurich - ZH
"WHO, Dept Child & Adolescent Hlth & Dev, CH-1211 Geneva, Switzerland",Switzerland,Both,8,5,World Health Organization (WHO)
"WHO, Dept Reprod Hlth & Res, CH-1211 Geneva, Switzerland",Switzerland,Both,8,12,"WHO, Dept Reprod Hlth & Res, CH-1211 Geneva, Switzerland

---"
"WHO, Special Programme Res & Training Trop Dis, Geneva, Switzerland",Switzerland,Both,8,4,"WHO, Special Programme Res & Training Trop Dis, Geneva, Switzerland"
"an institute or an international laboratory covered by a cooperation agreement with CERN, Geneva, Switzerland",Switzerland,Scopus,8,4,"CERN, Geneva, Switzerland"
"another institute or international laboratory covered by a cooperation agreement with CERN, Geneva, Switzerland",Switzerland,Scopus,8,15,"CERN, Geneva, Switzerland"
"An Institution Covered by A Cooperation Agreement with CERN., Switzerland",Switzerland,Scopus,7,1,"CERN, Switzerland"
"Andrology and IVF Center, Next Fertility Procrea, Lugano, Switzerland",Switzerland,Scopus,7,3,University of Applied Sciences and Arts of Southern Switzerland - SUPSI
"Bern Center for Precision Medicine, University Hospital of Bern, University of Bern, Bern, 3008, Switzerland",Switzerland,Scopus,7,1,University of Bern - BE
"Brighton Collaborat Fdn, Basel, Switzerland",Switzerland,Both,7,3,"Brighton Collaborat Fdn, Basel, Switzerland!"
"CERN, Dept Theoret Phys, CH-1211 Geneva 23, Switzerland",Switzerland,Both,7,5,"CERN, Dept Theoret Phys"
"CERN, Div Theory, CH-1211 Geneva 23, Switzerland",Switzerland,Both,7,10,CERN
"CERN, Geneva 23, Switzerland",Switzerland,Both,7,2,"CERN, Geneva"
"CERN, Int Lab, Geneva, Switzerland",Switzerland,Both,7,14,"CERN, Int Lab, Geneva, Switzerland"
"Department of Astronomy, University of Geneva, ch. d'Écogia 16, Versoix, CH-1290, Switzerland",Switzerland,Scopus,7,1,University of Geneva - GE
"Department of Mental Health and Substance Abuse, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,7,7,World Health Organization - WHO
"Department of Neurology, Neurocenter of Southern Switzerland (NSI), Lugano, Switzerland",Switzerland,Scopus,7,2,Ente Ospedaliero Cantonale - EOC
"Department of Radiology and Nuclear Medicine, Luzerner Kantonsspital, Luzern, Switzerland",Switzerland,Scopus,7,2,Luzerner Kantonsspital - LUKS
"Department of Reproductive Health and Research, World Health Organization, Geneva, Switzerland",Switzerland,Scopus,7,10,World Health Organization - WHO
"Drugs Neglected Dis Initiat, CH-1202 Geneva, Switzerland",Switzerland,Both,7,9,Drugs Neglected Dis Initiat!
"Drugs Neglected Dis Initiat, Geneva, Switzerland",Switzerland,WoS,7,9,"Drugs Neglected Dis Initiat, Geneva, Switzerland"
"ETH, Inst Teilchenphys, Zurich, Switzerland",Switzerland,Both,7,5,ETH Zurich - ETHZ
"Ecole Polytech Fed Lausanne, Appl Comp & Mech Lab, CH-1015 Lausanne, Switzerland",Switzerland,Both,7,3,EPF Lausanne - EPFL
"Ecole Polytech Fed Lausanne, Bioenergy & Energy Planning Res Grp, CH-1015 Lausanne, Switzerland",Switzerland,Both,7,5,EPF Lausanne - EPFL
"European Org Nucl Res CERN, CH-1211 Geneva, Switzerland",Switzerland,Both,7,40,European Organization for Nuclear Research - CERN
"Foundation for Innovative New Diagnostics, Geneva, Switzerland",Switzerland,Scopus,7,9,Other Research Institutes - FINST
"Geneva Univ Hosp, Ctr Multidisciplinary Pain, Div Clin Pharmacol & Toxicol, Geneva, Switzerland",Switzerland,Both,7,1,University of Geneva - GE
"Geneva Univ Hosp, Ctr Multidisciplinary Pain, Div Gen Med Rehabil, Geneva, Switzerland",Switzerland,Both,7,2,University of Geneva - GE
"Global Act Fund Fungal Infect, Geneva, Switzerland",Switzerland,Both,7,9,Other Research Institutes - FINST
"Inst Particle Phys & Astrophys IPA, Zurich, Switzerland",Switzerland,Both,7,43,ETH Zurich - ETHZ
"Institute for Particle Physics, ETH Zurich, Zurich, Switzerland",Switzerland,Scopus,7,134,ETH Zurich - ETHZ
"Int Osteoporosis Fdn, Nyon, Switzerland",Switzerland,Both,7,6,International Osteoporosis Foundation - IOF!
"Novartis AG, Basel, Switzerland",Switzerland,Both,7,9,"Novartis AG, Basel - Novartis"
"Novartis, Basel, Switzerland",Switzerland,WoS,7,10,"Novartis, Basel, Switzerland"
"Oncol Inst Southern Switzerland, Bellinzona, Switzerland",Switzerland,Both,7,4,Ente Ospedaliero Cantonale - EOC
"Partnership Maternal Newborn & Child Hlth, Geneva, Switzerland",Switzerland,Both,7,8,University of Geneva - GE
"Paul Scherrer Inst, CH-5232 Villigen, Switzerland",Switzerland,WoS,7,14,Paul Scherrer Institute - PSI
"Paul Scherrer Inst, Photon Sci Div, CH-5232 Villigen, Switzerland",Switzerland,Both,7,37,Paul Scherrer Institute - PSI
"Quai Sante, Montreux, Switzerland",Switzerland,Both,7,1,Unisanté
"Swiss Fed Inst Technol, Dept Mech & Proc Engn, CH-8092 Zurich, Switzerland",Switzerland,Both,7,10,ETH Zurich - ETHZ
"Swiss Fed Inst Technol, Inst Integrat Biol, Dept Environm Syst Sci, Zurich, Switzerland",Switzerland,Both,7,6,ETH Zurich - ETHZ
